RSTA-RXN RSTB-RXN
TRANS-RXN-126 TRANS-RXN-94A
TRANS-RXN-130 TRANS-RXN-94A
TRANS-RXN-118 TRANS-RXN-94A
TRANS-RXN-101 TRANS-RXN-94A
TRANS-RXN-128 TRANS-RXN-94A
TRANS-RXN-129 TRANS-RXN-94A
TRANS-RXN-94 TRANS-RXN-94A
TRANS-RXN-117 TRANS-RXN-94A
RXN0-4083 TRANS-RXN-94A
RXN0-2561 TRANS-RXN-94A
TRANS-RXN-122 TRANS-RXN-94A
ALPHAGALACTOSID-RXN TRANS-RXN-94B
RXN0-294 TRANS-RXN-94B
TRANS-RXN-94 TRANS-RXN-94B
TRANS-RXN-94A TRANS-RXN-94B
AICARSYN-RXN SAICARSYN-RXN
RXN0-5183 AMYLOMALT-RXN
RXN0-5182 AMYLOMALT-RXN
MALTACETYLTRAN-RXN AMYLOMALT-RXN
ALDOSE-1-EPIMERASE-RXN AMYLOMALT-RXN
RXN-12402 AMYLOMALT-RXN
R166-RXN AMYLOMALT-RXN
GLUCDEHYDROG-RXN AMYLOMALT-RXN
3.2.1.21-RXN AMYLOMALT-RXN
ABC-16-RXN AMYLOMALT-RXN
GLUCOKIN-RXN AMYLOMALT-RXN
MALTODEG-RXN AMYLOMALT-RXN
RXN0-1741 AMYLOMALT-RXN
RXN0-6372 AMYLOMALT-RXN
RXN0-6373 AMYLOMALT-RXN
TRANS-RXN-157 AMYLOMALT-RXN
RXN0-6418 AMYLOMALT-RXN
GLYCINE--TRNA-LIGASE-RXN TRANS-RXN-62B
LTAA-RXN TRANS-RXN-62B
AKBLIG-RXN TRANS-RXN-62B
GCVMULTI-RXN TRANS-RXN-62B
RXN0-5234 TRANS-RXN-62B
RXN0-1641 TRANS-RXN-62B
GLYOHMETRANS-RXN TRANS-RXN-62B
PHENYLSERINE-ALDOLASE-RXN TRANS-RXN-62B
RXN0-6470 TRANS-RXN-62B
RXN0-6563 TRANS-RXN-62B
GLUTATHIONE-SYN-RXN TRANS-RXN-62B
GLYRIBONUCSYN-RXN TRANS-RXN-62B
GCVP-RXN TRANS-RXN-62B
PRPPSYN-RXN ATPPHOSPHORIBOSYLTRANS-RXN
XANPRIBOSYLTRAN-RXN ATPPHOSPHORIBOSYLTRANS-RXN
URACIL-PRIBOSYLTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
NICOTINATEPRIBOSYLTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
PRTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
HYPOXANPRIBOSYLTRAN-RXN ATPPHOSPHORIBOSYLTRANS-RXN
OROPRIBTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
PRPPAMIDOTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
QUINOPRIBOTRANS-RXN ATPPHOSPHORIBOSYLTRANS-RXN
GUANPRIBOSYLTRAN-RXN ATPPHOSPHORIBOSYLTRANS-RXN
HISTPRATPHYD-RXN ATPPHOSPHORIBOSYLTRANS-RXN
ALARACECAT-RXN TRANS-RXN-62A
RXN0-5227 TRANS-RXN-62A
RXN0-5240 TRANS-RXN-62A
3.4.13.22-RXN TRANS-RXN-62A
DALADEHYDROG-RXN TRANS-RXN-62A
RXN0-6684 TRANS-RXN-62A
3.4.16.4-RXN TRANS-RXN-62A
DALADALALIG-RXN TRANS-RXN-62A
TRANS-RXN0-288 ABC-8-RXN
3.4.15.5-RXN ABC-8-RXN
3.4.11.4-RXN ABC-8-RXN
3.4.13.18-RXN ABC-8-RXN
RXN-11479 RXN-11478
RXN-11480 RXN-11479
URACIL-PRIBOSYLTRANS-RXN URIDINE-NUCLEOSIDASE-RXN
URPHOS-RXN URIDINE-NUCLEOSIDASE-RXN
R148-RXN URIDINE-NUCLEOSIDASE-RXN
RXN0-5398 URIDINE-NUCLEOSIDASE-RXN
URA-PHOSPH-RXN URIDINE-NUCLEOSIDASE-RXN
RXN0-6444 URIDINE-NUCLEOSIDASE-RXN
TRANS-RXN-132 URIDINE-NUCLEOSIDASE-RXN
RIBOKIN-RXN URIDINE-NUCLEOSIDASE-RXN
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN URIDINE-NUCLEOSIDASE-RXN
INOSINE-NUCLEOSIDASE-RXN URIDINE-NUCLEOSIDASE-RXN
RXN0-5305 URIDINE-NUCLEOSIDASE-RXN
RXN0-5332 URIDINE-NUCLEOSIDASE-RXN
RXN0-2584 URIDINE-NUCLEOSIDASE-RXN
RXN0-5213 RXN0-4281
RXN-8632 RXN0-4281
RXN0-5377 1.1.1.271-RXN
TRANS-RXN0-239 R247-RXN
RXN0-5198 R247-RXN
1.7.2.3-RXN R247-RXN
RXN-12827 R247-RXN
RXN0-5242 R247-RXN
RXN0-6377 R247-RXN
TRANS-RXN-26 R247-RXN
RXN-12876 R247-RXN
RXN0-6369 R247-RXN
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN R247-RXN
RXN0-6370 R247-RXN
NITRIC-OXIDE-REDUCTASE-RXN R247-RXN
TRANS-RXN-137 R247-RXN
RXN0-3501 R247-RXN
PRODISULFREDUCT-A-RXN RXN-982
GLUTAREDOXIN-RXN RXN-982
RXN0-5456 RXN-982
TRANS-RXN-7 RXN-982
RXN0-3441 NADH-DEHYDROGENASE-QUINONE-RXN
GLUCOSAMINE-6-P-DEAMIN-RXN NAG6PDEACET-RXN
5.4.2.10-RXN NAG6PDEACET-RXN
ACSERLY-RXN NAG6PDEACET-RXN
ACECOATRANS-RXN NAG6PDEACET-RXN
CITC-RXN NAG6PDEACET-RXN
ACETOACETYL-COA-TRANSFER-RXN NAG6PDEACET-RXN
ACETATEKIN-RXN NAG6PDEACET-RXN
RXN0-1981 NAG6PDEACET-RXN
RXN0-5414 NAG6PDEACET-RXN
RXN-11474 RXN-11475
RXN-11476 RXN-11474
RXN0-384 DADPKIN-RXN
RXN0-312 ARCB717-RXN
ALTARCA-RXN ARCB717-RXN
RXN-11478 RXN-11477
RXN-11477 RXN-11476
GALACTURIDYLYLTRANS-RXN GALACTOKIN-RXN
3.4.23.43-RXN RXN0-3201
3.5.1.28-RXN RXN0-3201
3.4.11.1-RXN RXN0-3201
3.4.21.92-RXN RXN0-3201
RXN0-5103 RXN0-3201
3.4.21.87-RXN RXN0-3201
RXN0-3261 RXN0-3201
RXN0-5052 RXN0-3201
RXN0-5051 RXN0-3201
RXN0-5204 RXN0-3201
3.4.24.70-RXN RXN0-3201
3.4.21.53-RXN RXN0-3201
GAMMA-GLUTAMYLTRANSFERASE-RXN RXN0-3201
3.4.24.55-RXN RXN0-3201
3.4.21.102-RXN RXN0-3201
ABC-22-RXN RXN0-3201
3.4.21.83-RXN RXN0-3201
3.4.11.9-RXN RXN0-3201
RXN0-3221 RXN0-3201
RXN0-5201 ASPDECARBOX-RXN
PANTOATE-BETA-ALANINE-LIG-RXN ASPDECARBOX-RXN
3-OXOACYL-ACP-REDUCT-RXN 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
ENOYL-ACP-REDUCT-NADH-RXN 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
ENOYL-ACP-REDUCT-NADPH-RXN 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
RXN-9527 RXN-5741
RXN0-5098 RXN-5741
TRANS-RXN0-272 RXN-5741
RXN0-947 RXN-5741
RXN-9556 2.3.1.179-RXN
RXN0-1402 PNP-RXN
RXN0-5199 PNP-RXN
PPENTOMUT-RXN PNP-RXN
URPHOS-RXN PNP-RXN
ADENPHOSPHOR-RXN PNP-RXN
INOPHOSPHOR-RXN PNP-RXN
XANTHOSINEPHOSPHORY-RXN PNP-RXN
PANTOATE-BETA-ALANINE-LIG-RXN 2-DEHYDROPANTOATE-REDUCT-RXN
LTAA-RXN MHPELY-RXN
RXN0-3962 MHPELY-RXN
ALCOHOL-DEHYDROG-RXN MHPELY-RXN
RXN0-5234 MHPELY-RXN
DEOXYRIBOSE-P-ALD-RXN MHPELY-RXN
RXN0-2022 MHPELY-RXN
PHENYLACETATE--COA-LIGASE-RXN PHENDEHYD-RXN
RXN0-5186 R136-RXN
R137-RXN R136-RXN
1PFRUCTPHOSN-RXN R136-RXN
PHOP-RXN PHOQ-RXN
RXN0-267 1.8.4.12-RXN
1.8.4.13-RXN 1.8.4.12-RXN
RIBONUCLEOSIDE-DIP-REDUCTI-RXN 1.8.4.12-RXN
RXN0-5468 1.8.4.12-RXN
THIOREDOXIN-REDUCT-NADPH-RXN 1.8.4.12-RXN
THIOREDOXIN-RXN 1.8.4.12-RXN
GDPREDUCT-RXN 1.8.4.12-RXN
ADPREDUCT-RXN 1.8.4.12-RXN
CDPREDUCT-RXN 1.8.4.12-RXN
UDPREDUCT-RXN 1.8.4.12-RXN
RXN0-6385 1.8.4.12-RXN
1.8.4.8-RXN 1.8.4.12-RXN
RXN0-6277 1.8.4.12-RXN
RXN-8668 1.8.4.12-RXN
1.8.4.14-RXN 1.8.4.12-RXN
3.1.13.3-RXN RXN0-4961
RXN0-4223 RXN0-4961
DNA-DIRECTED-DNA-POLYMERASE-RXN RXN0-4961
3.1.26.4-RXN RXN0-4961
3.1.21.7-RXN RXN0-4961
3.6.1.19-RXN RXN0-4961
3.1.21.3-RXN RXN0-4961
RXN0-6525 RXN0-4961
3.1.13.5-RXN RXN0-4961
3.1.11.1-RXN RXN0-4961
3.1.11.2-RXN RXN0-4961
MALATE-DEHYDROGENASE-ACCEPTOR-RXN NQOR-RXN
RXN0-6722 NQOR-RXN
QOR-RXN NQOR-RXN
RXN-8447 1.1.1.262-RXN
PYRIMSYN1-RXN OHMETPYRKIN-RXN
TRANS-RXN0-462 OHMETPYRKIN-RXN
PYRIMSYN3-RXN OHMETPYRKIN-RXN
THIKIN-RXN RXN-12611
THI-P-KIN-RXN RXN-12611
THI-P-SYN-RXN RXN-12611
RXN0-284 INOSINE-NUCLEOSIDASE-RXN
RIBOKIN-RXN INOSINE-NUCLEOSIDASE-RXN
R148-RXN INOSINE-NUCLEOSIDASE-RXN
INOSINEKIN-RXN INOSINE-NUCLEOSIDASE-RXN
HYPOXANPRIBOSYLTRAN-RXN INOSINE-NUCLEOSIDASE-RXN
RXN-7682 INOSINE-NUCLEOSIDASE-RXN
RXN0-5305 INOSINE-NUCLEOSIDASE-RXN
INOPHOSPHOR-RXN INOSINE-NUCLEOSIDASE-RXN
TRANS-RXN-108G INOSINE-NUCLEOSIDASE-RXN
DEOXYINOPHOSPHOR-RXN INOSINE-NUCLEOSIDASE-RXN
RXN0-18 INOSINE-NUCLEOSIDASE-RXN
PNPOXI-RXN PDXJ-RXN
3.1.13.3-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
RXN0-4223 NUCLEOSIDE-DIPHOSPHATASE-RXN
RXN0-4961 NUCLEOSIDE-DIPHOSPHATASE-RXN
3.1.26.4-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
3.6.1.19-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
RXN0-6525 NUCLEOSIDE-DIPHOSPHATASE-RXN
3.1.13.5-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
3.1.11.1-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
3.1.11.2-RXN NUCLEOSIDE-DIPHOSPHATASE-RXN
RXN0-1684 ABC-9-RXN
RXN0-2261 ABC-9-RXN
PROTOPORGENOXI-RXN HEMN-RXN
RNTRACTIV-RXN HEMN-RXN
RXN0-6259 HEMN-RXN
PYRIMSYN1-RXN HEMN-RXN
RXN0-6550 HEMN-RXN
RXN0-5063 HEMN-RXN
NRDACTMULTI-RXN HEMN-RXN
3.4.23.43-RXN 3.4.11.1-RXN
RXN0-3201 3.4.11.1-RXN
3.4.13.21-RXN 3.4.11.1-RXN
3.4.11.4-RXN 3.4.11.1-RXN
3.4.21.92-RXN 3.4.11.1-RXN
RXN0-5052 3.4.11.1-RXN
RXN0-5051 3.4.11.1-RXN
R15-RXN 3.4.11.1-RXN
RXN0-5204 3.4.11.1-RXN
3.4.21.53-RXN 3.4.11.1-RXN
3.4.24.55-RXN 3.4.11.1-RXN
RXN0-3221 3.4.11.1-RXN
3.4.13.18-RXN 3.4.11.1-RXN
RXN0-3241 3.4.11.1-RXN
3.5.1.28-RXN 3.4.11.1-RXN
RXN0-5103 3.4.11.1-RXN
3.4.21.87-RXN 3.4.11.1-RXN
RXN0-3261 3.4.11.1-RXN
GAMMA-GLUTAMYLTRANSFERASE-RXN 3.4.11.1-RXN
3.4.24.70-RXN 3.4.11.1-RXN
3.4.21.102-RXN 3.4.11.1-RXN
ABC-22-RXN 3.4.11.1-RXN
3.4.21.83-RXN 3.4.11.1-RXN
3.4.11.9-RXN 3.4.11.1-RXN
3.4.13.9-RXN 3.4.11.1-RXN
NITRIC-OXIDE-REDUCTASE-RXN RXN0-2721
RXN0-6361 RXN0-2721
RXN0-5487 RXN0-2721
R621-RXN RXN0-2721
SHIKIMATE-KINASE-RXN RXN-7968
TRANS-RXN-27 RXN-7968
3-DEHYDROQUINATE-DEHYDRATASE-RXN RXN-7967
LUMAZINESYN-RXN RIBOFLAVIN-SYN-RXN
RIBOFLAVINKIN-RXN RIBOFLAVIN-SYN-RXN
NADPH-DEHYDROGENASE-FLAVIN-RXN RIBOFLAVIN-SYN-RXN
RXN-12445 RIBOFLAVIN-SYN-RXN
RXN-12106 RXN-12105
1.1.1.264-RXN RXN-12106
TRANS-RXN-181A RXN-12106
YIAE2-RXN RXN-12106
RXN0-4641 NANE-RXN
NAG6PDEACET-RXN NANE-RXN
TRANS-RXN-141 TRANS-RXN-250
RXN0-2121 RXN0-1565
COBALADENOSYLTRANS-RXN RXN0-1565
ABC-5-RXN RXN0-1565
RXN-12583 THI-P-KIN-RXN
RXN0-3542 THI-P-KIN-RXN
RXN0-5291 THI-P-KIN-RXN
RXN0-6678 DALADEHYDROG-RXN
TRANS-RXN0-206 DALADEHYDROG-RXN
RXN0-6684 DALADEHYDROG-RXN
SULFATE-ADENYLYLTRANS-RXN ABC-70-RXN
ARYLSULFAT-RXN ABC-70-RXN
RXN0-6359 MERCAPYSTRANS-RXN
RXN0-6945 MERCAPYSTRANS-RXN
THIOSULFATE-SULFURTRANSFERASE-RXN MERCAPYSTRANS-RXN
ALLOSE-KINASE-RXN RXN0-4942
ABC-42-RXN RXN0-4942
RXN0-5454 TRANS-RXN-262
ASPARAGINE--TRNA-LIGASE-RXN TRANS-RXN-262
ASPARAGHYD-RXN TRANS-RXN-262
TRANS-RXN-57 TRANS-RXN-261
GABATRANSAM-RXN TRANS-RXN-261
CYT-ACC-RXN RXN-12120
RXN0-6371 RXN-12120
CHD-RXN RXN-12120
RXN-821 RXN-12120
RXN-6081 RXN-12120
RXN-10981 RXN-12120
GLYCOLATEDEHYDRO-RXN RXN-12120
1.2.99.7-RXN RXN-12120
SELENOCYSTEINE-LYASE-RXN RXN-12120
RXN0-3281 RXN-12120
CROBETREDUCT-RXN RXN-12120
L-LACTDEHYDROGFMN-RXN RXN-12120
RXN-8974 RXN0-6452
DCUS-RXN RXN0-6459
ADENPHOSPHOR-RXN TRANS-RXN-108A
ADENODEAMIN-RXN TRANS-RXN-108A
ADENOSINE-NUCLEOSIDASE-RXN TRANS-RXN-108A
TRANS-RXN0-278 RXN0-1139
RXN0-1140 RXN0-1139
RXN0-1130 RXN0-1139
RXN0-1141 RXN0-1139
RXN-8654 RXN0-1139
RXN0-361 TRANS-RXN-108B
CYTIDINEKIN-RXN TRANS-RXN-108B
CYTIDEAM2-RXN TRANS-RXN-108B
RXN0-6409 TRANS-RXN-108B
RXN0-1141 RXN0-1138
GCVP-RXN RXN0-1138
RXN0-1140 RXN0-1137
RXN0-1130 RXN0-1137
RXN0-1144 RXN0-1137
DEOXYINOPHOSPHOR-RXN TRANS-RXN-108E
RXN0-6464 RXN0-6462
DURIDKI-RXN TRANS-RXN-108F
URA-PHOSPH-RXN TRANS-RXN-108F
CHD-RXN RXN0-6461
RXN-6081 RXN0-6461
RXN-821 RXN0-6461
RXN-10981 RXN0-6461
GLYCOLATEDEHYDRO-RXN RXN0-6461
RXN0-6452 RXN0-6461
SELENOCYSTEINE-LYASE-RXN RXN0-6461
1.2.99.7-RXN RXN0-6461
RXN0-3281 RXN0-6461
CYT-ACC-RXN RXN0-6461
RXN0-6371 RXN0-6461
CROBETREDUCT-RXN RXN0-6461
L-LACTDEHYDROGFMN-RXN RXN0-6461
DEOXYADENPHOSPHOR-RXN TRANS-RXN-108C
ADDALT-RXN TRANS-RXN-108C
RXN0-6461 RXN0-6460
CYTIDEAM-RXN TRANS-RXN-108D
URKI-RXN TRANS-RXN-108I
URIDINE-NUCLEOSIDASE-RXN TRANS-RXN-108I
URPHOS-RXN TRANS-RXN-108I
RXN0-1139 RXN0-1130
RXN0-1137 RXN0-1130
INOSINEKIN-RXN TRANS-RXN-108G
INOPHOSPHOR-RXN TRANS-RXN-108G
INOSINE-NUCLEOSIDASE-RXN TRANS-RXN-108G
RXN0-18 TRANS-RXN-108G
FLAVONADPREDUCT-RXN RIBONUCLEOSIDE-TRIP-REDUCT-RXN
DNA-DIRECTED-DNA-POLYMERASE-RXN RIBONUCLEOSIDE-TRIP-REDUCT-RXN
TDCEACT1-RXN RIBONUCLEOSIDE-TRIP-REDUCT-RXN
RXN0-724 RIBONUCLEOSIDE-TRIP-REDUCT-RXN
1.97.1.4-A-RXN RIBONUCLEOSIDE-TRIP-REDUCT-RXN
RXN0-746 RIBONUCLEOSIDE-TRIP-REDUCT-RXN
RXN0-745 RIBONUCLEOSIDE-TRIP-REDUCT-RXN
NRDACTMULTI-RXN RIBONUCLEOSIDE-TRIP-REDUCT-RXN
RXN0-723 RIBONUCLEOSIDE-TRIP-REDUCT-RXN
DIMETHUROPORDEHYDROG-RXN RXN-8675
THYKI-RXN TRANS-RXN-108H
THYM-PHOSPH-RXN TRANS-RXN-108H
RXN0-1133 RXN0-1134
R15-RXN RXN0-3241
GAMMA-GLUTAMYLTRANSFERASE-RXN RXN0-3241
3.4.13.21-RXN RXN0-3241
3.4.11.1-RXN RXN0-3241
3.4.11.4-RXN RXN0-3241
3.4.13.9-RXN RXN0-3241
3.4.13.18-RXN RXN0-3241
RXN0-5052 RXN0-3241
RXN0-5051 RXN0-3241
RXN0-1132 RXN0-1133
RXN-12508 RXN0-1132
RXN0-1134 RXN0-1132
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN 3-OXOACYL-ACP-REDUCT-RXN
RXN0-6512 RXNMETA-12672
RXN0-6511 RXNMETA-12672
RXN0-2943 RXN0-6442
DHBAMPLIG-RXN RXN0-6442
ENTDB-RXN RXN0-6442
ENTMULTI-RXN RXN0-6442
FADSYN-RXN RXN0-6444
RXN0-6460 RXN0-6444
RXN0-6450 RXN0-6444
FMNREDUCT-RXN RXN0-6444
RXN0-5187 RXN0-6444
RXN-12444 RXN0-6444
CHEYDEPHOS-RXN RXN0-6445
RXN0-6546 RXN0-6445
RXN0-5177 RXN0-6446
RXN0-268 RXN0-1147
TETHYDPICSUCC-RXN RXN0-1147
METHYLMALONYL-COA-MUT-RXN RXN0-1147
RXN-7716 RXN0-1147
HOMSUCTRAN-RXN RXN0-1147
ARGININE-N-SUCCINYLTRANSFERASE-RXN RXN0-1147
ACETOACETYL-COA-TRANSFER-RXN ACETOACETATE-DECARBOXYLASE-RXN
TRANS-RXN0-281 ACETOACETATE-DECARBOXYLASE-RXN
DEHYDDEOXGALACTKIN-RXN GALACTONDEHYDRAT-RXN
RXN0-6561 BARA-RXN
1TRANSKETO-RXN TRYPSYN-RXN
TRANS-RXN-76 TRYPSYN-RXN
TRANSALDOL-RXN TRYPSYN-RXN
RXN0-287 TRYPSYN-RXN
DXS-RXN TRYPSYN-RXN
RXN0-2381 TRYPSYN-RXN
DEHYDDEOXPHOSGALACT-ALDOL-RXN TRYPSYN-RXN
TAGAALDOL-RXN TRYPSYN-RXN
DEOXYRIBOSE-P-ALD-RXN TRYPSYN-RXN
TRYPTOPHAN-RXN TRYPSYN-RXN
TRYPTOPHAN--TRNA-LIGASE-RXN TRYPSYN-RXN
F16ALDOLASE-RXN TRYPSYN-RXN
TRIOSEPISOMERIZATION-RXN TRYPSYN-RXN
2TRANSKETO-RXN TRYPSYN-RXN
RXN0-313 TRYPSYN-RXN
GAPOXNPHOSPHN-RXN TRYPSYN-RXN
PHOSGLYPHOS-RXN GLY3KIN-RXN
PGLYCDEHYDROG-RXN GLY3KIN-RXN
3PGAREARR-RXN GLY3KIN-RXN
RXN0-6452 RXN0-6451
RXNMETA-12672 RXNMETA-12671
RXN0-6451 RXN0-6450
RXN0-1139 RXN0-1140
RXN0-1137 RXN0-1140
TRANS-RXN0-278 RXN0-1140
RXN0-1141 RXN0-1140
RXN0-1144 RXN0-1140
RXN-8654 RXN0-1140
1.1.1.274-RXN YIAE1-RXN
TRANS-RXN0-228 YIAE1-RXN
1.1.1.264-RXN YIAE1-RXN
RXN0-2701 YIAE1-RXN
GLUCONATE-5-DEHYDROGENASE-RXN YIAE1-RXN
RXN-12105 YIAE1-RXN
RXN0-1139 RXN0-1141
RXN0-1138 RXN0-1141
TRANS-RXN0-278 RXN0-1141
RXN0-1140 RXN0-1141
GCVP-RXN RXN0-1141
RXN-8654 RXN0-1141
GALACTODEHYDROG-RXN R139-RXN
ALDOSE1EPIM-RXN R139-RXN
RXN0-6730 R139-RXN
R138-RXN R139-RXN
ABC-18-RXN R139-RXN
TRANS-RXN-21 R139-RXN
RXN0-1137 RXN0-1144
RXN0-1140 RXN0-1144
RXN0-6499 UHPB-RXN
2.8.1.6-RXN DETHIOBIOTIN-SYN-RXN
1TRANSKETO-RXN RXN0-5398
URACIL-PRIBOSYLTRANS-RXN RXN0-5398
PPENTOMUT-RXN RXN0-5398
